Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2018,2018 Annual,Adverse Childhood Experiences,New Jersey,8,18.1,-0.9,,,"Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health supported by the U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB)",2016
2018,2018 Annual,Adverse Childhood Experiences,New Jersey,8,18.1,-0.9,,,"Child and Adolescent Health Measurement Initiative (CAHMI), National Survey of Children's Health Indicator Data Set, Data Resource Center for Child and Adolescent Health supported by the U.S. HHS, HRSA, Maternal and Child Health Bureau (MCHB)",2016
2018,2018 Annual,Air Pollution,New Jersey,36,8.3,-0.07,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1 2017",2015-2017
2018,2018 Annual,All Determinants,New Jersey,9,0.383,0.383,,,America's Health Rankings composite measure,2018
2018,2018 Annual,All Outcomes,New Jersey,18,0.077,0.077,,,America's Health Rankings composite measure,2018
2018,2018 Annual,Behaviors,New Jersey,5,0.177,0.177,,,America's Health Rankings composite measure,2018
2018,2018 Annual,Binge Drinking,New Jersey,23,16.7,-0.26,17.9,15.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Binge Drinking - $25-$49,999",New Jersey,17,14.3,-0.54,17.2,11.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Binge Drinking - $50-$74,999",New Jersey,29,18,0.03,21.9,14,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Binge Drinking - $75,000 or More",New Jersey,17,19.3,-0.36,21.5,17.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Ages 18-44,New Jersey,23,24.2,-0.05,26.6,21.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Ages 45-64,New Jersey,30,14.3,0,15.9,12.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Ages 65+,New Jersey,32,5.1,0,6.2,4.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - American Indian/Alaskan Native,New Jersey,,,,20.3,2.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Asian,New Jersey,,9.8,,13.7,5.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Black,New Jersey,,10.2,,12.8,7.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - College Grad,New Jersey,29,16.5,0,18.4,14.6,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Female,New Jersey,13,11.1,-0.5,12.5,9.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Hawaiian/Pacific Islander,New Jersey,,,,11.7,0,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - High School Grad,New Jersey,15,14.8,-0.25,17.2,12.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Hispanic,New Jersey,,19.8,,23.3,16.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Binge Drinking - Less Than $25,000",New Jersey,29,12.7,0.08,15.1,10.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Less than High School,New Jersey,,14.7,,19.1,10.3,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Male,New Jersey,29,22.8,0.21,24.8,20.7,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Multiracial,New Jersey,,,,14.9,2.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Other Race,New Jersey,,,,17.1,0,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Rural,New Jersey,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Some College,New Jersey,15,14.9,-0.54,17.3,12.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Suburban,New Jersey,,12.9,,14.5,11.2,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - Urban,New Jersey,,11.3,,14.7,7.8,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Binge Drinking - White,New Jersey,32,18.5,0.23,20.1,16.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cancer Deaths,New Jersey,15,182.3,-0.42,183.8,180.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cancer Deaths - American Indian/Alaska Native,New Jersey,,40.7,,55.9,28.8,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cancer Deaths - Asian/Pacific Islander,New Jersey,,86.4,,90.8,82,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cancer Deaths - Black/African American,New Jersey,,206.1,,211.2,201.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cancer Deaths - Crude Rate,New Jersey,19,188.7,-0.04,190.3,187.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cancer Deaths - Female,New Jersey,0,162.5,0,164.5,160.5,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cancer Deaths - Hispanic/Latino,New Jersey,,117,,121.1,113,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cancer Deaths - Male,New Jersey,0,211.8,0,214.5,209.2,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cancer Deaths - Standard Age Adjustment,New Jersey,15,156.5,-0.39,157.9,155.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cancer Deaths - White,New Jersey,,187.2,,189,185.4,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cardiovascular Deaths,New Jersey,26,245.4,-0.29,247.3,243.6,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cardiovascular Deaths - American Indian/Alaska Native,New Jersey,,39.3,,54.4,27.5,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cardiovascular Deaths - Asian/Pacific Islander,New Jersey,,116.9,,122.5,111.3,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cardiovascular Deaths - Black/African American,New Jersey,,288.9,,295.1,282.8,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cardiovascular Deaths - Female,New Jersey,0,203.9,0,206.1,201.8,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cardiovascular Deaths - Hispanic/Latino,New Jersey,,155,,159.9,150,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cardiovascular Deaths - Male,New Jersey,0,298.9,0,302.1,295.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Cardiovascular Deaths - White,New Jersey,,247.1,,249.1,245.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2014-2016
2018,2018 Annual,Children in Poverty,New Jersey,14,13.9,-0.96,,,"U.S. Census Bureau, American Community Survey",2017
2018,2018 Annual,Chlamydia,New Jersey,8,385.3,-1.06,0,0,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2016
2018,2018 Annual,Chlamydia - American Indian/Alaska Native,New Jersey,0,198.2,0,0,0,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2016
2018,2018 Annual,Chlamydia - Asian,New Jersey,0,34.2,0,0,0,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2016
2018,2018 Annual,Chlamydia - Black/African American,New Jersey,0,683,0,0,0,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2016
2018,2018 Annual,Chlamydia - Female,New Jersey,10,523.8,0,0,0,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2016
2018,2018 Annual,Chlamydia - Hispanic/Latino,New Jersey,0,254.6,0,0,0,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2016
2018,2018 Annual,Chlamydia - Male,New Jersey,8,238.7,0,0,0,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2016
2018,2018 Annual,Chlamydia - Multiracial,New Jersey,0,,0,0,0,AHR data,
2018,2018 Annual,Chlamydia - Native Hawaiian/ PI,New Jersey,0,387.6,0,0,0,AHR data,
2018,2018 Annual,Chlamydia - White,New Jersey,0,75.9,0,0,0,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2016
2018,2018 Annual,Cholesterol Check,New Jersey,2,91.1,1.52,92.1,90.1,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Cholesterol Check - $25-$49,999",New Jersey,5,90.7,0.96,93.5,87.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Cholesterol Check - $50-$74,999",New Jersey,4,92.8,1.2,95.2,90.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,"Cholesterol Check - $75,000 or More",New Jersey,8,93.7,0.64,95.1,92.4,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Ages 18-44,New Jersey,1,85,1.38,87.1,82.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Ages 45-64,New Jersey,5,94.5,0.96,95.5,93.5,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - Ages 65+,New Jersey,12,97.5,0.45,98.1,96.9,"CDC, Behavioral Risk Factor Surveillance System",2017
2018,2018 Annual,Cholesterol Check - American Indian/Alaskan Native,New Jersey,,96,,103.7,88.2,"CDC, Behavioral Risk Factor Surveillance System",2017
