County,Zip Code,City,Agency PD,Total Yearly Crimes,Monthly Avg
Monmouth,7747,ABERDEEN TWP,ABERDEEN TWP PD,174,14.50
Atlantic,8201,ABSECON CITY,ABSECON CITY PD,198,16.50
Bergen,7401,ALLENDALE,ALLENDALE PD,33,2.75
Monmouth,7711,ALLENHURST,ALLENHURST PD,7,0.58
Monmouth,8501,ALLENTOWN BORO,ALLENTOWN BORO PD,5,0.42
Warren,8865,ALPHA,ALPHA PD,4,0.33
Bergen,7620,ALPINE,ALPINE PD,25,2.08
Sussex,7821,ANDOVER TWP,ANDOVER TWP PD,16,1.33
Monmouth,7712,ASBURY PARK,ASBURY PARK PD,827,68.92
Atlantic,8401,ATLANTIC CITY,ATLANTIC CITY PD,1457,121.42
Monmouth,7716,ATLANTIC HIGHLANDS,ATLANTIC HIGHLANDS PD,41,3.42
Camden,8106,AUDUBON,AUDUBON PD,296,24.67
Camden,8106,AUDUBON PARK,AUDUBON PARK PD,15,1.25
Cape May,8202,AVALON BORO,AVALON BORO PD,140,11.67
Monmouth,7717,AVON-BY-THE-SEA,AVON-BY-THE-SEA PD,32,2.67
Ocean,8006,BARNEGAT LIGHT BORO,BARNEGAT LIGHT BORO PD,12,1.00
Ocean,8005,BARNEGAT TWP,BARNEGAT TWP PD,133,11.08
Camden,8007,BARRINGTON,BARRINGTON PD,118,9.83
Ocean,8742,BAYHEAD BORO,BAYHEAD BORO PD,17,1.42
Hudson,7002,BAYONNE,BAYONNE PD,887,73.92
Ocean,8008,BEACH HAVEN,BEACH HAVEN PD,118,9.83
Ocean,8722,BEACHWOOD BORO,BEACHWOOD BORO PD,136,11.33
Somerset,7921,BEDMINSTER TWP,BEDMINSTER TWP PD,35,2.92
Essex,7109,BELLEVILLE,BELLEVILLE PD,651,54.25
Camden,8031,BELLMAWR,BELLMAWR PD,166,13.83
Monmouth,7715,BELMAR,BELMAR PD,89,7.42
Warren,7823,BELVIDERE,BELVIDERE PD,1,0.08
Bergen,7621,BERGENFIELD,BERGENFIELD PD,77,6.42
Union,7922,BERKELEY HEIGHTS,BERKELEY HEIGHTS PD,64,5.33
Ocean,8721,BERKELEY TWP,BERKELEY TWP PD,403,33.58
Camden,8009,BERLIN BORO,BERLIN BORO PD,136,11.33
Camden,8091,BERLIN TWP,BERLIN TWP PD,167,13.92
Somerset,7920,BERNARDS TWP,BERNARDS TWP PD,89,7.42
Somerset,7924,BERNARDSVILLE,BERNARDSVILLE PD,40,3.33
Burlington,8010,BEVERLY CITY,BEVERLY CITY PD,51,4.25
Warren,7825,BLAIRSTOWN TWP,BLAIRSTOWN TWP PD,4,0.33
Essex,7003,BLOOMFIELD,BLOOMFIELD PD,697,58.08
Passaic,7403,BLOOMINGDALE BORO,BLOOMINGDALE BORO PD,38,3.17
Bergen,7603,BOGOTA,BOGOTA PD,47,3.92
Morris,7005,BOONTON,BOONTON PD,101,8.42
Morris,7005,BOONTON TWP,BOONTON TWP PD,26,2.17
Burlington,8505,BORDENTOWN CITY,BORDENTOWN CITY PD,26,2.17
Burlington,8620,BORDENTOWN TWP ,BORDENTOWN TWP  PD,113,9.42
Somerset,8805,BOUND BROOK,BOUND BROOK PD,127,10.58
Monmouth,7720,BRADLEY BEACH,BRADLEY BEACH PD,56,4.67
Somerset,8853,BRANCHBURG TWP,BRANCHBURG TWP PD,84,7.00
Ocean,8723,BRICK TWP,BRICK TWP PD,969,80.75
Cumberland,8302,BRIDGETON,BRIDGETON PD,923,76.92
Somerset,8807,BRIDGEWATER TWP,BRIDGEWATER TWP PD,347,28.92
Monmouth,8730,BRIELLE,BRIELLE PD,23,1.92
Atlantic,8203,BRIGANTINE,BRIGANTINE PD,130,10.83
Monmouth,0,BROOKDALE COLLEGE,BROOKDALE COLLEGE PD,12,1.00
Camden,8031,BROOKLAWN,BROOKLAWN PD,148,12.33
Atlantic,8310,BUENA,BUENA PD,77,6.42
Burlington,8016,BURLINGTON CITY,BURLINGTON CITY PD,248,20.67
Burlington,0,BURLINGTON CO PROSECUTORS OFF,BURLINGTON CO PROSECUTORS OFFICE,1,0.08
Burlington,8046,BURLINGTON TWP,BURLINGTON TWP PD,309,25.75
Morris,7405,BUTLER BORO,BUTLER BORO PD,50,4.17
Sussex,7821,BYRAM TWP,BYRAM TWP PD,48,4.00
Essex,7007,CALDWELL,CALDWELL PD,54,4.50
Hunterdon,7830,CALIFON BORO,CALIFON BOROUGH,0,0.00
Camden,8101,CAMDEN,CAMDEN PD,3417,284.75
Camden,0,CAMDEN CO SHERIFF'S D,CAMDEN CO SHERIFF'S DEPT,43,3.58
Cape May,8204,CAPE MAY CITY,CAPE MAY CITY PD,76,6.33
Cape May,0,CAPE MAY CO SHERIFF'S OFF,CAPE MAY CO SHERIFF'S OFFICE,2,0.17
Cape May,8212,CAPE MAY POINT BORO,CAPE MAY POINT BORO PD,2,0.17
Bergen,7072,CARLSTADT,CARLSTADT PD,93,7.75
Salem,8023,CARNEY'S POINT,CARNEY'S POINT PD,102,8.50
Middlesex,7008,CARTERET,CARTERET PD,340,28.33
Essex,7009,CEDAR GROVE,CEDAR GROVE PD,90,7.50
Morris,7928,CHATHAM BORO,CHATHAM BORO PD,39,3.25
Morris,7940,CHATHAM TWP,CHATHAM TWP PD,33,2.75
Camden,8002,CHERRY HILL TWP,CHERRY HILL TWP PD,2118,176.50
Camden,8089,CHESILHURST,CHESILHURST PD,50,4.17
Morris,7930,CHESTER BORO,CHESTER BORO PD,6,0.50
Morris,7836,CHESTER TWP,CHESTER TWP PD,22,1.83
Burlington,8515,CHESTERFIELD TWP,CHESTERFIELD TWP PD,14,1.17
Burlington,8077,CINNAMINSON,CINNAMINSON PD,300,25.00
Union,7066,CLARK,CLARK PD,231,19.25
Gloucester,8312,CLAYTON,CLAYTON PD,80,6.67
Camden,8021,CLEMENTON BORO,CLEMENTON BORO PD,150,12.50
Bergen,7010,CLIFFSIDE PARK,CLIFFSIDE PARK PD,165,13.75
Passaic,7011,CLIFTON,CLIFTON PD,1451,120.92
Hunterdon,8809,CLINTON TOWN,CLINTON TOWN PD,14,1.17
Hunterdon,8809,CLINTON TWP,CLINTON TWP PD,51,4.25
Bergen,7624,CLOSTER,CLOSTER PD,59,4.92
Mercer,0,COLLEGE OF NEW JER,COLLEGE OF NEW JERSEY,69,5.75
Camden,8108,COLLINGSWOOD,COLLINGSWOOD PD,309,25.75
Monmouth,7722,COLTS NECK,COLTS NECK PD,59,4.92
Middlesex,8512,CRANBURY TWP,CRANBURY TWP PD,37,3.08
Union,7016,CRANFORD,CRANFORD PD,152,12.67
Bergen,7626,CRESSKILL,CRESSKILL PD,48,4.00
Cumberland,0,CUMBERLAND CO SHERIFF'S D,CUMBERLAND CO SHERIFF'S DEPT,1,0.08
Monmouth,7723,DEAL,DEAL PD,25,2.08
Burlington,8075,DELANCO TWP,DELANCO TWP PD,52,4.33
Hunterdon,7833,DELAWARE TWP,DELAWARE TWP PD,15,1.25
Burlington,8075,DELRAN TWP,DELRAN TWP PD,184,15.33
Bergen,7627,DEMAREST,DEMAREST PD,21,1.75
Morris,7834,DENVILLE,DENVILLE PD,92,7.67
Mercer,0,DEPT OF CORRECTI,DEPT OF CORRECTIONS,36,3.00
Gloucester,8096,DEPTFORD TWP,DEPTFORD TWP PD,1200,100.00
Morris,7801,DOVER,DOVER PD,213,17.75
Bergen,7628,DUMONT,DUMONT PD,54,4.50
Middlesex,8812,DUNELLEN,DUNELLEN PD,100,8.33
Middlesex,8816,EAST BRUNSWICK TWP,EAST BRUNSWICK TWP PD,664,55.33
Gloucester,8056,EAST GREENWICH TWP,EAST GREENWICH TWP PD,72,6.00
Morris,7936,EAST HANOVER TWP,EAST HANOVER TWP PD,108,9.00
Hudson,7029,EAST NEWARK,EAST NEWARK PD,45,3.75
Essex,7017,EAST ORANGE,EAST ORANGE PD,1237,103.08
Bergen,7073,EAST RUTHERFORD,EAST RUTHERFORD PD,162,13.50
Mercer,8520,EAST WINDSOR TWP,EAST WINDSOR TWP PD,189,15.75
Burlington,8060,EASTAMPTON TWP,EASTAMPTON TWP PD,65,5.42
Monmouth,7724,EATONTOWN,EATONTOWN PD,307,25.58
Bergen,7020,EDGEWATER,EDGEWATER PD,150,12.50
Burlington,8010,EDGEWATER PARK TWP,EDGEWATER PARK TWP PD,141,11.75
Middlesex,8817,EDISON TWP,EDISON TWP PD,1267,105.58
Atlantic,8215,EGG HARBOR CITY,EGG HARBOR CITY PD,131,10.92
Atlantic,8234,EGG HARBOR TWP,EGG HARBOR TWP PD,964,80.33
Union,7201,ELIZABETH,ELIZABETH PD,4899,408.25
Gloucester,8343,ELK TWP,ELK TWP PD,35,2.92
Salem,8318,ELMER BORO,ELMER BORO PD,4,0.33
Bergen,7407,ELMWOOD PARK,ELMWOOD PARK PD,375,31.25
Salem,8079,ELSINBORO TWP,ELSINBORO TWP PD,9,0.75
Bergen,7630,EMERSON,EMERSON PD,38,3.17
Bergen,7631,ENGLEWOOD,ENGLEWOOD PD,366,30.50
